,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
31,819,foundiougne,passy,senegal,10,4,-0.13295188544698,1.0,13.98543687,-16.25698786,14.0,-16.25,13.9836423,-16.26717045,-1.6295320987701416,-1.702424168586731,2.0,0.1,-3.259064197540283,-0.09999999999999998,40611737.75569371,0.20190222641386377,0.8700827330791969
32,1777,kolda,doumansou,senegal,8,1,0.197701741498011,0.0,12.90032016,-14.9476098,12.9,-14.95,12.89534328,-14.93936134,-1.5743701060612998,-1.7277136643727622,1.6666666666666667,0.4,-2.6800917585690813,1.1000000000000005,137391473.71938,0.2440006572033382,0.8576594875146355
33,1554,matam,mango,senegal,2,0,0.271464349318792,,15.60094582,-13.322622,15.6,-13.3,15.6680352,-13.36263999,-1.4188188016414642,-1.4215432703495026,1.25,0.4,-1.735464483499527,-0.3999999999999999,91726539.81112185,0.1472688548740653,0.07381355852213005
34,1742,bakel,ndiaye counda,senegal,19,1,-0.0263347783050982,1.0,14.1372415,-15.49080373,14.15,-15.5,14.13637726,-15.5307987,-1.5200930833816528,-1.6106274127960205,2.0,0.2,-3.0401861667633057,-0.19999999999999973,30258285.749561816,0.19275533250256532,1.8791337657119103
35,152,thies,hersent,senegal,5,1,0.680671257260141,1.0,14.77685,-16.90942,14.8,-16.9,14.77734506,-16.92877566,-1.4228967626889546,-1.4358910918235779,1.3333333333333333,0.4,-1.9581006169319153,0.10000000000000031,34648587.38017581,0.1837446606269343,-0.08031632617172867
36,1860,podor,fanaye,senegal,13,6,-0.945163096017145,1.0,16.52599054,-15.22269493,16.55,-15.2,16.47147469,-15.27583107,-1.4163707494735718,-1.4776710271835327,1.3333333333333333,0.3,-1.8759554624557495,-0.30000000000000004,153771383.6199495,0.13955652235616364,0.6243477840838064
37,21,dakar,grand medine,senegal,10,0,-1.617198946902,,14.74795,-17.44715,14.75,-17.45,14.74391863,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09401770258871438,0.0
38,1435,matam,thiambe,senegal,14,2,-0.688034614667447,1.0,15.63263924,-13.3254062,15.65,-13.35,15.6680352,-13.36263999,-1.366512656211853,-1.4358363151550293,1.75,0.4,-2.3698430359363556,-0.3999999999999999,77561722.88975699,0.14329296566920452,0.3603540429932961
39,145,thies,hersent,senegal,2,0,0.005757474798852,,14.77685,-16.90942,14.8,-16.9,14.77734506,-16.92877566,-1.4228967626889546,-1.4358910918235779,1.3333333333333333,0.4,-1.9581006169319153,0.10000000000000031,34648587.38017581,0.1837446606269343,-0.08031632617172867
40,1312,mbacke,darou khoudouss,senegal,12,3,1.1650634875751,1.0,14.8653417,-15.87905597,14.85,-15.9,14.85551526,-15.88108409,-1.390240490436554,-1.390240490436554,1.0,0.2,-1.390240490436554,-0.19999999999999973,51273248.72292103,0.17634686986259673,1.3605905971575065
41,143,thies,hersent,senegal,5,0,1.40838604605758,,14.77685,-16.90942,14.8,-16.9,14.77734506,-16.92877566,-1.4228967626889546,-1.4358910918235779,1.3333333333333333,0.4,-1.9581006169319153,0.10000000000000031,34648587.38017581,0.1837446606269343,-0.08031632617172867
42,1739,bakel,moudery,senegal,32,1,-0.101772167257113,0.0,15.06745915,-12.5787737,15.05,-12.6,15.03429087,-12.41480008,-1.3424674719572067,-1.3781270533800125,1.625,0.5,-2.2130324244499207,-0.09999999999999998,99944014.9799662,0.16096586986888756,1.11048902223051
43,441,dakar,arafat,senegal,6,0,0.707994674194319,,14.71105977,-17.4688686,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
44,725,gossas,keur el hadj,senegal,10,1,0.557689664190603,1.0,,,,,14.72402296,-17.45998489,,,,,,,,,
45,153,thies,hersent,senegal,20,1,0.412665568489378,1.0,14.77685,-16.90942,14.8,-16.9,14.77734506,-16.92877566,-1.4228967626889546,-1.4358910918235779,1.3333333333333333,0.4,-1.9581006169319153,0.10000000000000031,34648587.38017581,0.1837446606269343,-0.08031632617172867
46,854,diourbel,medinatoul nord,senegal,9,1,1.92524498939435,1.0,14.65733141,-16.23486005,14.65,-16.25,14.66195934,-16.23192106,-1.4404619137446086,-1.4663568337758381,1.3333333333333333,0.3,-1.9705688158671062,-0.30000000000000004,24261947.253483657,0.18154962561663165,0.9397827410080014
47,927,kebemer,medina,senegal,7,0,1.93301060296294,1.0,,,,,14.72402296,-17.45998489,,,,,,,,,
48,823,foundiougne,passy leona,senegal,5,3,1.94595329224392,1.0,13.98148365,-16.3182542,14.0,-16.3,13.9817835,-16.26780651,-1.6019175052642822,-1.672521710395813,2.0,0.1,-3.2038350105285645,-0.09999999999999998,40611737.75569371,0.20170928484782863,0.6618696789417569
49,1704,ziguinchor,diefaye,senegal,3,0,2.22679892856043,,12.57853941,-16.25514132,12.6,-16.25,12.56804369,-16.24558632,-1.5538276433944702,-1.5828225910663605,1.75,0.3,-2.731204777956009,0.3666666666666667,23226862.34193109,0.15007094255822093,-1.252532766755687
50,466,guediawaye,hlm las palmas,senegal,8,0,1.42116140507264,,14.77009217,-17.40633211,14.75,-17.4,14.77252754,-17.39599836,-1.7305097579956055,-1.7305097579956055,2.0,0.3,-3.461019515991211,-0.30000000000000004,141962.16483858545,0.09267427379510108,0.7838869958309896
51,78,pikine,cite la rochette,senegal,3,0,-0.618415799750727,,14.75619,-17.36858,14.75,-17.35,14.76581033,-17.34454455,-1.4196049571037292,-1.5174153447151184,1.5,0.2,-2.1748417615890503,-0.19999999999999973,181968.8024083389,0.11261874813624648,-0.5758441144947879
52,941,kebemer,medina,senegal,6,1,1.40468813483445,1.0,,,,,14.72402296,-17.45998489,,,,,,,,,
53,627,rufisque,niagha ouolof,senegal,7,1,1.30609570455045,0.0,14.80539524,-17.23892342,14.8,-17.25,14.81724179,-17.22764196,-1.7393890619277954,-1.7393890619277954,2.0,0.3,-3.478778123855591,-0.30000000000000004,154869.64796579359,0.1776861332432898,0.7546267487414203
54,1774,kolda,doumanssou,senegal,19,1,-0.720517090909232,1.0,12.90032016,-14.9476098,12.9,-14.95,12.89534328,-14.93936134,-1.5743701060612998,-1.7277136643727622,1.6666666666666667,0.4,-2.6800917585690813,1.1000000000000005,137391473.71938,0.2440006572033382,0.8576594875146355
55,1444,matam,thiambe,senegal,10,3,1.39652719925141,1.0,15.63263924,-13.3254062,15.65,-13.35,15.6680352,-13.36263999,-1.366512656211853,-1.4358363151550293,1.75,0.4,-2.3698430359363556,-0.3999999999999999,77561722.88975699,0.14329296566920452,0.3603540429932961
56,954,louga,ndianguene ndiagne,senegal,5,1,1.34367259965267,1.0,,,,,14.72402296,-17.45998489,,,,,,,,,
57,726,gossas,keur el hadji,senegal,6,2,-0.0707097129827541,1.0,14.49623916,-16.0640894,14.5,-16.05,14.50274052,-16.09656209,-1.492220938205719,-1.5602096319198608,1.5,0.2,-2.2927871346473694,-0.19999999999999973,31678417.24061081,0.18438455557915162,1.6016210146605447
58,18,dakar,grand medine,senegal,5,1,0.667901027669024,0.0,14.74795,-17.44715,14.75,-17.45,14.74391863,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09401770258871438,0.0
59,1001,louga,artillerie,senegal,7,1,1.49767988101554,1.0,15.62705619,-16.2230668,15.65,-16.2,15.6680352,-16.23192106,-1.5234345197677612,-1.552945574124654,1.6666666666666667,0.3,-2.53835666179657,-0.30000000000000004,30282955.40571375,0.1699204012451503,0.6992804331609475
60,344,thies,mbour i,senegal,7,1,1.55980478956426,1.0,14.68562239,-17.45034661,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
61,348,thies,mbour i,senegal,2,1,1.55980478956426,1.0,14.68562239,-17.45034661,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
62,991,louga,artillerie,senegal,10,0,1.27895915324775,,15.62705619,-16.2230668,15.65,-16.2,15.6680352,-16.23192106,-1.5234345197677612,-1.552945574124654,1.6666666666666667,0.3,-2.53835666179657,-0.30000000000000004,30282955.40571375,0.1699204012451503,0.6992804331609475
63,1771,kolda,doumansou,senegal,8,0,1.38250066749562,,12.90032016,-14.9476098,12.9,-14.95,12.89534328,-14.93936134,-1.5743701060612998,-1.7277136643727622,1.6666666666666667,0.4,-2.6800917585690813,1.1000000000000005,137391473.71938,0.2440006572033382,0.8576594875146355
64,1981,podor,dodele,senegal,20,3,-0.226021984354549,1.0,16.50354464,-14.42019001,16.5,-14.4,16.47147469,-14.56250057,-1.420293152332306,-1.4206809997558594,1.25,0.5,-1.8065381050109863,-0.09999999999999998,112842125.90767488,0.13668133145939754,0.07178261135265318
65,251,dakar,gueule tapee,senegal,11,0,0.860899568391183,,14.68287,-17.45728,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
66,809,foundiougne,passy leona,senegal,2,1,2.12715094217768,1.0,13.98148365,-16.3182542,14.0,-16.3,13.9817835,-16.26780651,-1.6019175052642822,-1.672521710395813,2.0,0.1,-3.2038350105285645,-0.09999999999999998,40611737.75569371,0.20170928484782863,0.6618696789417569
67,736,gossas,keur el hadji,senegal,6,2,2.01843235221743,1.0,14.49623916,-16.0640894,14.5,-16.05,14.50274052,-16.09656209,-1.492220938205719,-1.5602096319198608,1.5,0.2,-2.2927871346473694,-0.19999999999999973,31678417.24061081,0.18438455557915162,1.6016210146605447
68,1364,matam,guidjilogne lodiou,senegal,11,3,0.720534243110851,1.0,15.9373344,-13.35219736,15.95,-13.35,16.0110665,-13.36263999,-1.464976143836975,-1.4993435621261597,1.4,0.5,-2.073451375961304,-0.5,85012463.82991388,0.14380216606801252,0.2996544329378138
69,940,kebemer,medina,senegal,6,1,1.35143821322126,0.0,,,,,14.72402296,-17.45998489,,,,,,,,,
70,44,dakar,mermoz ambassade,senegal,6,0,2.45589919373176,,14.68949,-17.47308,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
71,1888,podor,dodele,senegal,16,4,-0.312125031245667,0.0,16.50354464,-14.42019001,16.5,-14.4,16.47147469,-14.56250057,-1.420293152332306,-1.4206809997558594,1.25,0.5,-1.8065381050109863,-0.09999999999999998,112842125.90767488,0.13668133145939754,0.07178261135265318
72,999,louga,artillerie,senegal,8,1,0.254429108055185,1.0,15.62705619,-16.2230668,15.65,-16.2,15.6680352,-16.23192106,-1.5234345197677612,-1.552945574124654,1.6666666666666667,0.3,-2.53835666179657,-0.30000000000000004,30282955.40571375,0.1699204012451503,0.6992804331609475
73,1893,podor,mery,senegal,8,0,1.18320122173341,,16.42777753,-14.09801568,16.45,-14.1,16.42033799,-14.01712506,-1.497347131371498,-1.5201416462659836,1.5,0.5,-2.2504524141550064,-0.09999999999999998,102753802.7739172,0.13597522943041296,-0.5094928944360394
74,947,louga,nianguene ndiagne,senegal,8,4,2.0667517255331,1.0,15.60326241,-16.16011688,15.6,-16.15,15.6680352,-16.18754008,-1.5203221440315247,-1.631341278553009,2.5,0.2,-3.823577642440796,0.8,43531974.28321092,0.1750076665845876,1.4568605295478079
75,605,rufisque,diokoul kaw,senegal,2,1,1.22718839612382,0.0,14.71694283,-17.29013219,14.7,-17.3,14.72094534,-17.34454455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
76,930,kebemer,medina,senegal,3,0,1.62192969811298,,,,,,14.72402296,-17.45998489,,,,,,,,,
77,147,thies,hersent,senegal,14,0,1.83851825013094,,14.77685,-16.90942,14.8,-16.9,14.77734506,-16.92877566,-1.4228967626889546,-1.4358910918235779,1.3333333333333333,0.4,-1.9581006169319153,0.10000000000000031,34648587.38017581,0.1837446606269343,-0.08031632617172867
78,1019,louga,keur serigne louga,senegal,3,0,1.38250066749562,,15.60644218,-16.23380986,15.6,-16.25,15.6680352,-16.23192106,-1.471130132675171,-1.492250233888626,1.5,0.4,-2.2233054637908936,-0.4,26165160.606896564,0.17029640566717166,1.021489689253764
79,987,louga,artellerie,senegal,2,0,0.842428828372228,,,,,,14.72402296,-17.45998489,,,,,,,,,
80,140,thies,hersent,senegal,10,1,1.99383052150274,1.0,14.77685,-16.90942,14.8,-16.9,14.77734506,-16.92877566,-1.4228967626889546,-1.4358910918235779,1.3333333333333333,0.4,-1.9581006169319153,0.10000000000000031,34648587.38017581,0.1837446606269343,-0.08031632617172867
81,1039,louga,montagne,senegal,14,2,1.89418253511999,1.0,15.62330287,-16.21748196,15.6,-16.2,15.6680352,-16.23192106,-1.4591489434242249,-1.4831380248069763,1.5,0.4,-2.2101719975471497,-0.4,26165160.606896564,0.17280874637308202,1.0395313040043792
82,112,pikine,cite lobatt fall,senegal,2,0,2.82744639675038,,14.74682,-17.40995,14.75,-17.4,14.74391863,-17.39599836,-1.7305097579956055,-1.7305097579956055,2.0,0.3,-3.461019515991211,-0.30000000000000004,141962.16483858545,0.09267427379510108,0.7838869958309896
83,1041,louga,montagne,senegal,8,1,0.686002823497469,1.0,15.62330287,-16.21748196,15.6,-16.2,15.6680352,-16.23192106,-1.4591489434242249,-1.4831380248069763,1.5,0.4,-2.2101719975471497,-0.4,26165160.606896564,0.17280874637308202,1.0395313040043792
84,1058,louga,santhiaba centre,senegal,14,2,1.17541763899989,1.0,15.6277561,-16.22782692,15.65,-16.25,15.6680352,-16.23192106,-1.5431695381800334,-1.5738041798273723,1.6666666666666667,0.3,-2.5588854551315308,-0.30000000000000004,30282955.40571375,0.16633043700660294,0.7111154181732052
85,1740,bakel,mouderi,senegal,21,3,0.736065470248031,1.0,15.06857796,-12.59097186,15.05,-12.6,15.03429087,-12.41480008,-1.3424674719572067,-1.3781270533800125,1.625,0.5,-2.2130324244499207,-0.09999999999999998,99944014.9799662,0.16096586986888756,1.11048902223051
86,659,mbour,tefess,senegal,5,0,2.01066673864884,,14.4094197,-16.97209534,14.4,-16.95,14.47252629,-16.98407509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15968229639651813,0.0
87,1749,bakel,mouderi,senegal,23,1,0.551909491335759,1.0,15.06857796,-12.59097186,15.05,-12.6,15.03429087,-12.41480008,-1.3424674719572067,-1.3781270533800125,1.625,0.5,-2.2130324244499207,-0.09999999999999998,99944014.9799662,0.16096586986888756,1.11048902223051
88,101,pikine,cite lobatt fall,senegal,5,0,3.1151097499944,,14.74682,-17.40995,14.75,-17.4,14.74391863,-17.39599836,-1.7305097579956055,-1.7305097579956055,2.0,0.3,-3.461019515991211,-0.30000000000000004,141962.16483858545,0.09267427379510108,0.7838869958309896
89,340,thies,mbour i,senegal,4,0,2.67371700550841,1.0,14.68562239,-17.45034661,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
90,662,mbour,tefess,senegal,5,0,2.12325741431257,,14.4094197,-16.97209534,14.4,-16.95,14.47252629,-16.98407509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15968229639651813,0.0
91,1610,matam,diandioly,senegal,57,0,1.15751925816342,1.0,15.54077403,-13.24904558,15.55,-13.25,15.6680352,-13.36263999,-1.421538233757019,-1.421538233757019,1.0,0.4,-1.421538233757019,0.10000000000000009,25482874.922935735,0.14071257896116265,0.17870419711314503
92,541,dakar,hlm 5,senegal,11,2,2.59097768141738,1.0,,,,,14.72402296,-17.45998489,,,,,,,,,
93,1748,bakel,modery,senegal,33,3,0.923194562689744,1.0,15.05700084,-12.59669046,15.05,-12.6,15.03429087,-12.41480008,-1.3424674719572067,-1.3781270533800125,1.625,0.5,-2.2130324244499207,-0.09999999999999998,99944014.9799662,0.16096586986888756,1.11048902223051
94,69,pikine,ousmane faye 05,senegal,8,1,1.43427142461955,1.0,14.8268,-17.27016,14.85,-17.25,14.81724179,-17.22764196,-1.7305117845535278,-1.7305117845535278,2.0,0.3,-3.4610235691070557,-0.30000000000000004,154869.64796579359,0.1501572092451867,1.451061307156968
95,1817,st-louis,pikine,senegal,9,5,1.92524498939435,1.0,16.11042196,-16.49496496,16.1,-16.5,16.0110665,-16.49789432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08599088928769089,0.0
96,1844,st-louis,sor nord,senegal,5,3,2.65137689806197,1.0,16.03200409,-16.47188231,16.05,-16.45,16.0110665,-16.45109143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125913448397688,0.0
97,938,kebemer,medina,senegal,10,2,0.478919795001742,0.0,,,,,14.72402296,-17.45998489,,,,,,,,,
98,1026,louga,keur serigne louga,senegal,6,6,2.01843235221743,1.0,15.60644218,-16.23380986,15.6,-16.25,15.6680352,-16.23192106,-1.471130132675171,-1.492250233888626,1.5,0.4,-2.2233054637908936,-0.4,26165160.606896564,0.17029640566717166,1.021489689253764
99,3042,dakar,liberte 6,senegal,4,0,2.67371700550841,,14.73104,-17.46105,14.75,-17.45,14.72402296,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09401770258871438,0.0
100,550,pikine,samba niang,senegal,17,0,2.32978245185782,,14.80972717,-15.90288816,14.8,-15.9,14.81724179,-15.88108409,-1.3709971904754639,-1.3709971904754639,1.0,0.2,-1.3709971904754639,-0.19999999999999973,51273248.72292103,0.18265194123499526,1.4760591207788578
101,1856,podor,yelitare,senegal,20,2,0.823279284172193,1.0,16.52936484,-15.20234492,16.55,-15.2,16.47147469,-15.27583107,-1.4163707494735718,-1.4776710271835327,1.3333333333333333,0.3,-1.8759554624557495,-0.30000000000000004,153771383.6199495,0.13955652235616364,0.6243477840838064
102,1732,bakel,moudery,senegal,26,1,0.725711318823244,1.0,15.06745915,-12.5787737,15.05,-12.6,15.03429087,-12.41480008,-1.3424674719572067,-1.3781270533800125,1.625,0.5,-2.2130324244499207,-0.09999999999999998,99944014.9799662,0.16096586986888756,1.11048902223051
103,1040,louga,montagne,senegal,27,2,1.06560819510351,1.0,15.62330287,-16.21748196,15.6,-16.2,15.6680352,-16.23192106,-1.4591489434242249,-1.4831380248069763,1.5,0.4,-2.2101719975471497,-0.4,26165160.606896564,0.17280874637308202,1.0395313040043792
104,1006,louga,keur serigne louga,senegal,4,0,2.08698550921927,,15.60644218,-16.23380986,15.6,-16.25,15.6680352,-16.23192106,-1.471130132675171,-1.492250233888626,1.5,0.4,-2.2233054637908936,-0.4,26165160.606896564,0.17029640566717166,1.021489689253764
105,668,mbour,tefess,senegal,10,1,1.99383052150274,0.0,14.4094197,-16.97209534,14.4,-16.95,14.47252629,-16.98407509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15968229639651813,0.0
106,497,dakar,pa unite 11,senegal,5,0,2.12325741431257,,14.75896766,-17.43245729,14.75,-17.45,14.76581033,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09401770258871438,0.0
107,281,dakar,liberte 6,senegal,10,2,1.81652639943409,0.0,14.73104,-17.46105,14.75,-17.45,14.72402296,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09401770258871438,0.0
108,472,guediawaye,hlm las palmas,senegal,10,3,2.06361410388922,1.0,14.77009217,-17.40633211,14.75,-17.4,14.77252754,-17.39599836,-1.7305097579956055,-1.7305097579956055,2.0,0.3,-3.461019515991211,-0.30000000000000004,141962.16483858545,0.09267427379510108,0.7838869958309896
